,sessionID,time,x,y
1295,s30,2016-09-11 21:28:36,-3553.343618555926,-72370.49177035084
1296,s30,2016-09-11 21:28:41,-3553.343618555926,-72370.49177035084
1297,s30,2016-09-11 21:28:46,-3553.343618555926,-72370.49177035084
1298,s30,2016-09-11 21:28:51,-3552.461238771677,-72370.49139714567
1299,s30,2016-09-11 21:28:56,-3552.461238771677,-72370.49139714567
1300,s30,2016-09-11 21:29:01,-3552.461238771677,-72370.49139714567
1301,s30,2016-09-11 21:29:06,-3552.461238771677,-72370.49139714567
1302,s30,2016-09-11 21:29:11,-3552.461238771677,-72370.49139714567
1303,s30,2016-09-11 21:29:16,-3552.461238771677,-72370.49139714567
1304,s30,2016-09-11 21:29:21,-3552.461238771677,-72370.49139714567
1305,s30,2016-09-11 21:29:26,-3552.461238771677,-72370.49139714567
1306,s30,2016-09-11 21:29:31,-3552.461238771677,-72370.49139714567
1307,s30,2016-09-11 21:29:36,-3552.461238771677,-72370.49139714567
1308,s30,2016-09-11 21:29:41,-3552.461238771677,-72370.49139714567
1309,s30,2016-09-11 21:29:46,-3552.461238771677,-72370.49139714567
1310,s30,2016-09-11 21:29:51,-3552.461238771677,-72370.49139714567
1311,s30,2016-09-11 21:29:57,-3552.461238771677,-72370.49139714567
1312,s30,2016-09-11 21:30:02,-3551.5788589799777,-72370.49102403503
1313,s30,2016-09-11 21:30:07,-3551.5788589799777,-72370.49102403503
1314,s30,2016-09-11 21:30:12,-3551.5788589799777,-72370.49102403503
1315,s30,2016-09-11 21:30:17,-3551.5788589799777,-72370.49102403503
1316,s30,2016-09-11 21:30:22,-3551.5788589799777,-72370.49102403503
1317,s30,2016-09-11 21:30:27,-3551.5788589799777,-72370.49102403503
1318,s30,2016-09-11 21:30:32,-3550.696479192935,-72370.49065101705
1319,s30,2016-09-11 21:30:37,-3550.696479192935,-72370.49065101705
1320,s30,2016-09-11 21:30:42,-3550.696479192935,-72370.49065101705
1321,s30,2016-09-11 21:30:47,-3550.696479192935,-72370.49065101705
1322,s30,2016-09-11 21:30:52,-3550.696479192935,-72370.49065101705
1323,s30,2016-09-11 21:30:57,-3550.696479192935,-72370.49065101705
1324,s30,2016-09-11 21:31:02,-3550.696479192935,-72370.49065101705
1325,s30,2016-09-11 21:31:07,-3550.696479192935,-72370.49065101705
1326,s30,2016-09-11 21:31:12,-3550.696479192935,-72370.49065101705
1327,s30,2016-09-11 21:31:17,-3550.696479192935,-72370.49065101705
1328,s30,2016-09-11 21:31:22,-3549.8140994054265,-72370.49027809082
1329,s30,2016-09-11 21:31:27,-3549.8140994054265,-72370.49027809082
1330,s30,2016-09-11 21:31:32,-3549.8140994054265,-72370.49027809082
1331,s30,2016-09-11 21:31:37,-3549.8140994054265,-72370.49027809082
1332,s30,2016-09-11 21:31:42,-3549.8140994054265,-72370.49027809082
1333,s30,2016-09-11 21:31:47,-3549.8140994054265,-72370.49027809082
1334,s30,2016-09-11 21:31:52,-3549.8140994054265,-72370.49027809082
1335,s30,2016-09-11 21:31:57,-3549.8140994054265,-72370.49027809082
1336,s30,2016-09-11 21:32:02,-3549.8140994054265,-72370.49027809082
1337,s30,2016-09-11 21:32:07,-3549.8140994054265,-72370.49027809082
1338,s30,2016-09-11 21:32:12,-3549.8140994054265,-72370.49027809082
1339,s30,2016-09-11 21:32:17,-3549.8140994054265,-72370.49027809082
1340,s30,2016-09-11 21:32:22,-3549.8140994054265,-72370.49027809082
1341,s30,2016-09-11 21:32:27,-3549.8140994054265,-72370.49027809082
1342,s30,2016-09-11 21:32:32,-3549.8140994054265,-72370.49027809082
1343,s30,2016-09-11 21:32:37,-3549.8140994054265,-72370.49027809082
1344,s30,2016-09-11 21:32:42,-3549.8140994054265,-72370.49027809082
1345,s30,2016-09-11 21:32:47,-3549.8140994054265,-72370.49027809082
1346,s30,2016-09-11 21:32:52,-3549.8140994054265,-72370.49027809082
1347,s30,2016-09-11 21:32:57,-3549.8140994054265,-72370.49027809082
1348,s30,2016-09-11 21:33:02,-3549.8140994054265,-72370.49027809082
1349,s30,2016-09-11 21:33:07,-3549.8140994054265,-72370.49027809082
1350,s30,2016-09-11 21:33:12,-3549.8140994054265,-72370.49027809082
1351,s30,2016-09-11 21:33:17,-3549.8140994054265,-72370.49027809082
1352,s30,2016-09-11 21:33:22,-3548.931719618384,-72370.48990525817
1353,s30,2016-09-11 21:33:27,-3548.931719618384,-72370.48990525817
1354,s30,2016-09-11 21:33:32,-3548.931719618384,-72370.48990525817
1355,s30,2016-09-11 21:33:37,-3548.931719618384,-72370.48990525817
1356,s30,2016-09-11 21:33:42,-3548.931719618384,-72370.48990525817
1357,s30,2016-09-11 21:33:47,-3548.931719618384,-72370.48990525817
1358,s30,2016-09-11 21:33:52,-3548.931719618384,-72370.48990525817
1359,s30,2016-09-11 21:33:57,-3548.931719618384,-72370.48990525817
1360,s30,2016-09-11 21:34:02,-3548.931719618384,-72370.48990525817
